工具名称,公司,分类,月活用户,价格模式,核心特点,适用场景,评分
DeepSeek,深度求索,AI聊天机器人,1.94亿,免费,开源生态+数学推理+本地部署,程序员/学生/企业复杂任务,9.5
豆包,字节跳动,AI聊天机器人,1.16亿,免费,多模态交互+中文拟人度+PDF解析,个人助手/内容创作,9.2
夸克,阿里巴巴,AI搜索,1.48亿,免费,AI搜索+长文本处理+电商集成,电商文案/跨境翻译,9.0
腾讯元宝,腾讯,AI聊天机器人,4164万,免费,DeepSeek-R1模型+微信生态+文件解析,自媒体运营/学术研究,8.8
Kimi,月之暗面,AI聊天机器人,2649万,免费增值,200万字长文本+PPT生成+法律分析,企业级文档/学术研究,8.7
ChatGPT,OpenAI,AI聊天机器人,全球领先,免费增值,$20/月专业版,通用AI助手+多模态+插件生态,个人/企业/开发者,9.6
Gemini,Google,AI聊天机器人,全球前三,免费增值,实时搜索+谷歌生态+多模态,搜索增强/办公协作,9.1
Claude,Anthropic,AI聊天机器人,快速增长,免费增值,安全性+创意内容+对话定制,创意写作/代码生成,9.0
GitHub Copilot,Microsoft,AI编程,开发者首选,订阅制,$10/月个人版,代码生成+多语言+IDE集成,专业开发者,9.3
Cursor,Cursor,AI编程,快速增长,免费增值,AI代码编辑器+快速开发+智能补全,软件开发/编程学习,9.1
通义灵码,阿里巴巴,AI编程,国内领先,免费,通义大模型+中文优化+企业级,国内开发者/企业,8.9
文心快码,百度,AI编程,国内主流,免费,文心大模型+百度生态+智能补全,中文编程/百度生态,8.7
代码小浣熊,商汤科技,AI编程,新兴工具,免费,商汤技术+免费使用+本土化,国内开发者/学习者,8.5
Trae,字节跳动,AI编程,新产品,免费,Claude模型+字节生态+免费,开发者/学习者,8.4
Midjourney,Midjourney,AI图像生成,创意领域领先,订阅制,$10-60/月,高质量图像+艺术风格+社区,设计师/艺术家/创作者,9.4
DALL-E 3,OpenAI,AI图像生成,集成ChatGPT,订阅制,ChatGPT集成+精确理解+高质量,内容创作/设计/营销,9.2
Stable Diffusion XL,Stability AI,AI图像生成,开源社区,开源+API,开源免费+高度定制+API友好,开发者/研究者/企业,9.0
Adobe Firefly,Adobe,AI创意工具,Creative Cloud,集成订阅,Creative Cloud集成+商业安全+专业级,专业设计师/企业,8.9
即梦AI,字节跳动,AI视频生成,2037万,免费,文生视频+动态海报+一句话P图,短视频创作/社交媒体,8.6
Synthesia,Synthesia,AI视频生成,企业市场,订阅制,$30-90/月,AI虚拟主播+多语言+专业级,企业培训/营销,8.8
FlexClip,FlexClip,AI视频编辑,创作者工具,免费增值,AI视频编辑+模板库+易用性,内容创作/社交媒体,8.4
Microsoft Copilot,Microsoft,办公AI,Office生态,集成订阅,Office集成+企业级+多产品,企业办公/生产力,9.3
Notion AI,Notion,生产力AI,知识管理,订阅制,$10/月,项目管理+知识库+AI助手,团队协作/个人管理,8.8
Jasper,Jasper,AI营销,营销工具,订阅制,$39-125/月,营销文案+品牌一致性+SEO优化,营销团队/内容创作,8.7
智谱清言,智谱AI,AI聊天机器人,1043万,免费,GLM-4大模型+PPT生成+学术背景,高校/企业办公/科研,8.6
文小言,百度,AI聊天机器人,1393万,免费,百度搜索+多模态+下沉市场,办公辅助/生活咨询,8.3
通义,阿里巴巴,AI聊天机器人,552万,免费,电商场景+多语言+淘宝生态,跨境电商/多语言协作,8.2
秘塔搜索,秘塔科技,AI搜索,学术用户,免费,学术搜索+深度分析+专业查询,学术研究/专业领域,8.5
Glean,Glean,企业AI搜索,企业级,企业订阅,企业搜索+安全性+智能推荐,企业知识管理,8.9
Firebase Studio,Google,AI开发平台,新产品,免费增值,全栈开发+Google生态+云服务,全栈开发/快速原型,8.7
Windsurf,Codeium,AI编程,新兴工具,免费增值,AI编程+代码理解+智能补全,开发者/编程学习,8.6
Bolt.new,StackBlitz,AI开发,全栈工具,免费增值,全栈AI工具+在线IDE+快速部署,快速原型/Web开发,8.8
